Date,Temp oF/oC,T. Max oF/oC,T. Min oF/oC,Precip. in / cm,Wind Speed (mph),Visibility (mi),Dew Point oF/oC,Max Wind Speed (mph),Wind Gust (mph),Sea Level Pressure (mBARs),Station Pressure (mBARs),Snow Depth (in),Weather Type
2/1/2016,48.3/9.1,51.8/11.0,39.2/4.0,0.03/0.08,23.59,6,42.8/6.0,31.07,51.9,N/A*,N/A*,N/A*,Rain/Drizzle
2/2/2016,39.2/4.0,44.2/6.8,33.8/1.0,0.07/0.18,14.5,7,34.9/1.6,23.02,35.79,N/A*,N/A*,N/A*,"Rain/Drizzle, Snow, Hail"
2/3/2016,40.2/4.6,46.4/8.0,32.9/0.5,0.04/0.10,13.58,6,35.8/2.1,23.02,N/A*,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
2/4/2016,48.7/9.3,51.8/11.0,41.5/5.3,0.02/0.05,13.81,6,47.7/8.7,20.83,31.07,N/A*,N/A*,N/A*,Rain/Drizzle
2/5/2016,43.8/6.6,48.2/9.0,35.6/2.0,0.39/0.99,18.76,6,42.7/5.9,31.07,46.03,N/A*,N/A*,N/A*,Rain/Drizzle
2/6/2016,42.4/5.8,47.8/8.8,34.9/1.6,0.43/1.09,16.92,7,39.8/4.3,24.17,39.13,N/A*,N/A*,N/A*,Rain/Drizzle
2/7/2016,40.5/4.7,50.0/10.0,35.4/1.9,0.31/0.79,18.07,7,38.3/3.5,34.41,52.94,N/A*,N/A*,N/A*,Rain/Drizzle
2/8/2016,41.2/5.1,45.1/7.3,33.8/1.0,0.71/1.80,27.96,6,37.1/2.8,40.28,60.99,N/A*,N/A*,N/A*,Rain/Drizzle
2/9/2016,36.7/2.6,42.8/6.0,31.5/-0.3,0.04/0.10,15.77,7,31.7/-0.2,26.35,37.98,N/A*,N/A*,N/A*,"Rain/Drizzle, Snow"
2/10/2016,39.9/4.4,48.2/9.0,35.6/2.0,0.08/0.20,11.05,7,35.6/2.0,17.84,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
2/11/2016,37.4/3.0,43.2/6.2,31.8/-0.1,0.00/0.00,5.87,7,36.1/2.3,11.39,N/A*,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
2/12/2016,40.2/4.6,43.5/6.4,37.2/2.9,0.22/0.56,7.25,3,40.0/4.4,11.39,N/A*,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
2/13/2016,40.3/4.6,42.8/6.0,37.4/3.0,0.31/0.79,5.41,6,39.7/4.3,9.21,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
2/14/2016,38.3/3.5,44.1/6.7,33.1/0.6,0.20/0.51,14.38,7,35.7/2.1,20.14,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
2/15/2016,34.9/1.6,45.1/7.3,30.9/-0.6,0.00/0.00,8.98,9,31.1/-0.5,13.46,N/A*,N/A*,N/A*,N/A*,N/A*
2/16/2016,45.1/7.3,48.4/9.1,36.7/2.6,0.51/1.30,20.6,5,43.0/6.1,27.73,42.46,N/A*,N/A*,N/A*,Rain/Drizzle
2/17/2016,39.2/4.0,43.2/6.2,33.8/1.0,0.67/1.70,8.17,6,35.5/1.9,17.26,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
2/18/2016,35.9/2.2,44.6/7.0,32.0/0.0,0.00/0.00,7.6,7,33.1/0.6,13.81,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
2/19/2016,45.7/7.6,52.0/11.1,32.5/0.3,0.05/0.13,11.97,6,44.0/6.7,18.3,27.73,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
2/20/2016,49.9/9.9,54.3/12.4,43.5/6.4,0.01/0.03,18.3,6,47.5/8.6,28.88,43.84,N/A*,N/A*,N/A*,Rain/Drizzle
2/21/2016,51.3/10.7,53.6/12.0,44.6/7.0,0.00/0.00,18.07,7,50.2/10.1,24.63,37.98,N/A*,N/A*,N/A*,Rain/Drizzle
2/22/2016,41.8/5.4,45.0/7.2,36.5/2.5,0.02/0.05,8.17,7,35.7/2.1,13.81,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
2/23/2016,39.1/3.9,46.4/8.0,33.6/0.9,0.00/0.00,9.32,7,33.2/0.7,13.81,N/A*,N/A*,N/A*,N/A*,N/A*
2/24/2016,37.5/3.1,45.0/7.2,31.8/-0.1,0.00/0.00,10.13,7,28.3/-2.1,14.96,N/A*,N/A*,N/A*,N/A*,N/A*
2/25/2016,38.4/3.6,44.6/7.0,33.8/1.0,0.00/0.00,7.02,7,34.6/1.4,11.39,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
2/26/2016,38.3/3.5,42.8/6.0,32.0/0.0,0.51/1.30,11.85,6,37.2/2.9,22.33,31.07,N/A*,N/A*,"0'40""","Fog, Rain/Drizzle, Snow"
2/27/2016,37.7/3.2,43.3/6.3,32.0/0.0,1.26/3.20,12.31,5,34.6/1.4,21.86,N/A*,N/A*,N/A*,"0'40""","Rain/Drizzle, Snow"
2/28/2016,39.0/3.9,45.3/7.4,35.2/1.8,0.00/0.00,8.17,7,32.5/0.3,13.46,N/A*,N/A*,N/A*,N/A*,N/A*
2/29/2016,43.7/6.5,50.0/10.0,35.4/1.9,0.08/0.20,12.54,6,41.4/5.2,20.83,N/A*,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
