Date,Temp oF/oC,T. Max oF/oC,T. Min oF/oC,Precip. in / cm,Wind Speed (mph),Visibility (mi),Dew Point oF/oC,Max Wind Speed (mph),Wind Gust (mph),Sea Level Pressure (mBARs),Station Pressure (mBARs),Snow Depth (in),Weather Type
1/1/2016,44.3/6.8,50.0/10.0,31.3/-0.4,0.91/2.31,21.29,6,42.9/6.1,34.41,49.37,N/A*,N/A*,N/A*,Rain/Drizzle
1/2/2016,44.1/6.7,50.0/10.0,35.1/1.7,0.59/1.50,12.77,5,42.5/5.8,27.73,39.13,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
1/3/2016,45.3/7.4,50.0/10.0,34.7/1.5,0.83/2.11,15.54,5,44.0/6.7,31.07,46.03,N/A*,N/A*,N/A*,Rain/Drizzle
1/4/2016,43.5/6.4,47.1/8.4,40.8/4.9,0.02/0.05,10.13,7,42.2/5.7,14.96,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
1/5/2016,43.5/6.4,45.7/7.6,41.0/5.0,0.02/0.05,13.46,7,40.8/4.9,20.14,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
1/6/2016,43.1/6.2,50.0/10.0,37.4/3.0,0.39/0.99,12.77,6,42.0/5.6,32.22,43.84,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
1/7/2016,39.3/4.1,45.1/7.3,35.2/1.8,0.46/1.17,11.97,7,37.1/2.8,28.88,39.13,N/A*,N/A*,N/A*,Rain/Drizzle
1/8/2016,38.7/3.7,42.8/6.0,33.8/1.0,0.47/1.19,7.36,6,37.8/3.2,20.14,N/A*,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
1/9/2016,38.7/3.7,43.0/6.1,35.1/1.7,0.51/1.30,7.71,5,37.8/3.2,13.46,N/A*,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
1/10/2016,36.4/2.4,41.0/5.0,32.0/0.0,0.04/0.10,7.02,7,35.2/1.8,13.46,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
1/11/2016,38.9/3.8,44.6/7.0,33.4/0.8,0.03/0.08,10.13,7,37.1/2.8,22.33,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
1/12/2016,37.7/3.2,42.8/6.0,33.8/1.0,0.00/0.00,14.73,7,33.1/0.6,23.02,29.92,N/A*,N/A*,N/A*,Rain/Drizzle
1/13/2016,35.2/1.8,41.0/5.0,30.2/-1.0,0.16/0.41,9.78,7,33.6/0.9,17.26,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
1/14/2016,35.5/1.9,41.0/5.0,33.3/0.7,0.08/0.20,12.31,7,32.9/0.5,25.32,N/A*,N/A*,N/A*,N/A*,"Rain/Drizzle, Snow"
1/15/2016,38.3/3.5,43.2/6.2,32.7/0.4,0.02/0.05,9.09,7,34.9/1.6,16.11,24.17,N/A*,N/A*,N/A*,"Rain/Drizzle, Snow"
1/16/2016,40.6/4.8,46.4/8.0,36.3/2.4,0.04/0.10,3.91,5,40.1/4.5,6.9,N/A*,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
1/17/2016,44.8/7.1,46.9/8.3,38.3/3.5,0.51/1.30,16.57,6,44.2/6.8,26.35,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
1/18/2016,44.8/7.1,46.8/8.2,42.6/5.9,1.10/2.79,13.92,5,44.5/6.9,21.86,32.22,N/A*,N/A*,N/A*,Rain/Drizzle
1/19/2016,42.7/5.9,44.6/7.0,41.0/5.0,0.28/0.71,5.98,5,42.4/5.8,12.77,N/A*,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
1/20/2016,45.2/7.3,48.6/9.2,42.8/6.0,0.16/0.41,16.92,6,42.5/5.8,25.32,36.94,N/A*,N/A*,N/A*,Rain/Drizzle
1/21/2016,50.2/10.1,51.8/11.0,46.2/7.9,0.87/2.21,16.46,1,50.2/10.1,27.73,32.22,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
1/22/2016,49.3/9.6,52.3/11.3,45.5/7.5,0.51/1.30,17.72,5,47.3/8.5,26.35,39.13,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
1/23/2016,49.0/9.4,52.2/11.2,43.3/6.3,0.30/0.76,14.73,4,48.4/9.1,25.32,37.98,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
1/24/2016,51.8/11.0,53.6/12.0,51.4/10.8,0.16/0.41,18.87,3,51.8/11.0,24.63,37.98,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
1/25/2016,49.0/9.4,52.5/11.4,42.8/6.0,0.12/0.30,18.41,5,46.1/7.8,27.73,43.84,N/A*,N/A*,N/A*,Rain/Drizzle
1/26/2016,50.6/10.3,53.6/12.0,43.7/6.5,0.83/2.11,29.81,4,50.3/10.2,40.28,57.42,N/A*,N/A*,N/A*,Rain/Drizzle
1/27/2016,44.5/6.9,52.5/11.4,32.0/0.0,0.32/0.81,18.99,6,42.5/5.8,32.22,47.18,N/A*,N/A*,N/A*,Rain/Drizzle
1/28/2016,44.1/6.7,50.4/10.2,32.2/0.1,0.09/0.23,18.87,7,42.5/5.8,29.11,43.84,N/A*,N/A*,N/A*,Rain/Drizzle
1/29/2016,48.1/8.9,50.4/10.2,42.8/6.0,0.08/0.20,20.25,6,44.7/7.1,33.26,51.9,N/A*,N/A*,N/A*,Rain/Drizzle
1/30/2016,38.3/3.5,42.8/6.0,33.8/1.0,0.00/0.00,12.08,7,34.0/1.1,20.83,31.07,N/A*,N/A*,N/A*,"Rain/Drizzle, Snow"
1/31/2016,50.2/10.1,54.3/12.4,35.4/1.9,0.08/0.20,16.23,6,48.6/9.2,25.32,35.79,N/A*,N/A*,N/A*,Rain/Drizzle
