Date,Temp oF/oC,T. Max oF/oC,T. Min oF/oC,Precip. in / cm,Wind Speed (mph),Visibility (mi),Dew Point oF/oC,Max Wind Speed (mph),Wind Gust (mph),Sea Level Pressure (mBARs),Station Pressure (mBARs),Snow Depth (in),Weather Type
3/1/2016,47.8/8.8,52.9/11.6,37.2/2.9,0.11/0.28,19.91,6,43.8/6.6,27.73,41.31,N/A*,N/A*,N/A*,Rain/Drizzle
3/2/2016,42.0/5.6,48.2/9.0,36.3/2.4,0.20/0.51,26.58,6,36.2/2.3,34.41,54.09,N/A*,N/A*,N/A*,Rain/Drizzle
3/3/2016,40.6/4.8,46.4/8.0,31.5/-0.3,0.08/0.20,12.43,6,38.3/3.5,27.73,41.31,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle, Snow"
3/4/2016,37.5/3.1,45.3/7.4,31.5/-0.3,0.01/0.03,16.57,7,34.0/1.1,29.11,42.46,N/A*,N/A*,N/A*,Rain/Drizzle
3/5/2016,39.6/4.2,45.7/7.6,33.8/1.0,0.00/0.00,18.18,7,33.5/0.8,23.02,33.26,N/A*,N/A*,N/A*,Rain/Drizzle
3/6/2016,36.5/2.5,39.7/4.3,30.2/-1.0,0.12/0.30,7.48,6,35.0/1.7,11.16,N/A*,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
3/7/2016,41.9/5.5,46.9/8.3,36.3/2.4,0.02/0.05,14.73,6,35.8/2.1,28.88,43.84,N/A*,N/A*,N/A*,Rain/Drizzle
3/8/2016,43.8/6.6,50.0/10.0,37.2/2.9,0.05/0.13,9.21,6,40.1/4.5,16.11,N/A*,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
3/9/2016,41.6/5.3,48.0/8.9,37.2/2.9,0.20/0.51,21.06,7,35.8/2.1,29.92,44.88,N/A*,N/A*,N/A*,Rain/Drizzle
3/10/2016,44.9/7.2,50.0/10.0,39.7/4.3,0.00/0.00,7.25,6,41.5/5.3,16.11,N/A*,N/A*,N/A*,N/A*,Fog
3/11/2016,47.6/8.7,51.8/11.0,44.4/6.9,0.01/0.03,8.4,4,46.7/8.2,16.11,N/A*,N/A*,N/A*,N/A*,"Fog, Rain/Drizzle"
3/12/2016,48.4/9.1,52.3/11.3,45.9/7.7,0.00/0.00,8.52,6,46.6/8.1,15.65,N/A*,N/A*,N/A*,N/A*,Rain/Drizzle
3/13/2016,48.3/9.1,54.3/12.4,44.2/6.8,N/A*,8.06,6,45.1/7.3,13.81,N/A*,N/A*,N/A*,N/A*,N/A*
